reassurance_type,turn_index,mean,count,std
calibrated,1,44.78333333333333,60,14.559162374242138
calibrated,2,57.68333333333333,60,10.210482593994268
calibrated,3,64.55932203389831,59,17.70473459610858
calibrated,4,63.28947368421053,38,12.854503669156964
calibrated,5,72.72972972972973,37,11.439815093320755
calibrated,6,73.75,24,8.842830552142965
miscalibrated,1,43.28333333333333,60,14.78557664875328
miscalibrated,2,61.9,60,17.157989689048406
miscalibrated,3,50.97435897435897,39,9.606705934938253
miscalibrated,4,58.525,40,7.932366349169451
miscalibrated,5,69.7948717948718,39,8.870944550608634
miscalibrated,6,74.48275862068965,29,7.2290124283788
